cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_1717,Retinoic acid,Retinoic receptor agonist,11,2.5699788804715102,0.12975835390299928,159,4.516641981861922,0.569002123877012,Ciclopirox,4.013709605679966,0.8886490498468446,0.7317073170731707
CVCL_1717,Riluzole hydrochloride,unclear,8,2.9459337029029062,0.1224359467610796,143,5.383488431198687,0.5472165010758582,Goserelin (acetate),4.205084713778331,0.7811077830888971,0.3170731707317073
CVCL_1717,Ritonavir,unclear,12,2.403793060292461,0.09169615583499247,114,4.480442915502003,0.5365079090675419,Goserelin (acetate),3.7665230922736934,0.8406586498941434,0.7317073170731707
CVCL_1717,Salicylic acid,Cyclooxygenase inhibitor,10,2.7388579402263793,0.11376361285996961,158,4.894682219461561,0.5595578665631263,Goserelin (acetate),3.8531565545519104,0.7872128121477467,0.5
CVCL_1717,Selinexor,unclear,14,2.4029668716383115,0.08870981653462773,87,4.303376500890999,0.5583910380931777,Goserelin (acetate),3.6982078500297386,0.8593735289636029,0.8170731707317073
CVCL_1717,Sodium Salicylate,Cyclooxygenase inhibitor,12,2.546954608263967,0.1093862586591563,123,4.316821944946745,0.5900068709679867,Goserelin (acetate),3.795687376528615,0.8792781877352694,0.7804878048780488
CVCL_1717,Sulfisoxazole,unclear,9,2.912090479833874,0.10999568398615533,134,5.694221988960297,0.511411477367708,Goserelin (acetate),4.360411259341509,0.7657606724492441,0.036585365853658534
CVCL_1717,Terfenadine,unclear,18,2.230403745381695,0.08469231870288252,100,3.7501639510978526,0.5947483295306993,Goserelin (acetate),3.1577024410965513,0.8420171710551856,0.8780487804878049
CVCL_1717,Thymol,unclear,11,2.5413642068837174,0.08031641885759766,141,4.945266507489955,0.5138983314720535,Goserelin (acetate),3.8413954907708305,0.7767822997916828,0.3170731707317073
CVCL_1717,Tofacitinib (citrate),JAK/STAT inhibitor,16,2.2805645348914836,0.07031914419852048,80,4.103495470833356,0.5557614358541832,Goserelin (acetate),3.0488721379894566,0.7429939084032371,0.8414634146341463
CVCL_1717,Tolcapone,unclear,8,2.907741560174579,0.14369772007074144,213,5.286136240131278,0.5500693565367446,Goserelin (acetate),4.297342591812302,0.812945863783787,0.4268292682926829
CVCL_1717,Triclosan,unclear,16,2.0698675580825916,0.07177910883419403,68,3.9354525691826354,0.525954136581676,Goserelin (acetate),3.435035398188746,0.8728438058401445,0.8414634146341463
CVCL_1717,Trifluridine,DNA synthesis/repair inhibitor,18,2.222801366782435,0.0702290470009278,79,3.7528412121260484,0.5922982724662578,Goserelin (acetate),2.9594440611436017,0.7885876043945452,0.9146341463414634
CVCL_1717,Tucidinostat,HDAC inhibitor,9,2.7789270635246863,0.11533647233888256,168,5.563746728819211,0.4994704466201421,Ciclopirox,4.213719104601636,0.7573527894027465,0.17073170731707318
CVCL_1717,Vemurafenib,RAF inhibitor,11,2.9438373258601187,0.08865423093230418,114,4.996729984520102,0.5891527729095115,Goserelin (acetate),3.8254210227778493,0.7655848994500454,0.2926829268292683
CVCL_1717,Vilanterol,Adrenoceptor agonist,10,2.7337582483832845,0.12463554303432867,167,4.902077149484304,0.5576734443420325,Goserelin (acetate),3.939770886283096,0.8036941823115855,0.5487804878048781
CVCL_1717,Vitamin K4,unclear,9,2.857502043777718,0.09258725438923832,90,5.759856138511561,0.496106495554964,Goserelin (acetate),4.145761237294503,0.7197681917044952,0.012195121951219513
CVCL_1717,Volasertib,unclear,8,2.9431294076776293,0.11446903287871502,199,5.753117547887191,0.5115712278047372,Goserelin (acetate),4.39121757533407,0.7632761783125267,0.024390243902439025
CVCL_1717,palbociclib,CDK inhibitor,12,2.560320515343041,0.07972056837256691,118,4.5404577059632,0.563890400736571,Goserelin (acetate),3.5406029828726435,0.7797898829059899,0.7682926829268293
CVCL_0480,(R)-Verapamil (hydrochloride),unclear,13,2.583333138673031,0.05878778830847187,110,4.753070968865983,0.5435082193374821,Procainamide (hydrochloride),3.4187079678549264,0.7192629755054094,0.28695652173913044
CVCL_0480,18β-Glycyrrhetinic acid,unclear,13,2.27035814017088,0.07478663110474937,180,4.519671222278747,0.5023281624954572,Procainamide (hydrochloride),3.4323535791335944,0.7594255002918233,0.23478260869565218
CVCL_0480,8-Hydroxyquinoline,unclear,29,1.7465150468302386,0.042797834995343065,72,3.1285886768819813,0.5582437409352428,Procainamide (hydrochloride),2.483992881697755,0.7939659502230749,0.7652173913043478
CVCL_0480,AT7519,CDK inhibitor,8,2.86407818130365,0.11977727297209817,268,5.551587755756583,0.5159025322681451,ULK-101,4.134727558923345,0.7447828874966338,0.06956521739130435
CVCL_0480,Abiraterone acetate,unclear,23,2.0205747746614082,0.06120976280547952,152,3.149359931103021,0.6415826767548062,ULK-101,2.773266748294086,0.88058107328583,0.8869565217391304
