tier,cell_line,drug,n_cells,ceiling,model,linear,mean,snr,isolation,effect_size,n_deg,moa,nn_drug
tier3_unseen_combos,CVCL_0293,Sinomenine,112,1.0,1.0,0.8,0.6,0.7636450790955084,1.108966896212055,1.2083745331434497,70,unclear,Perindopril (erbumine)
tier3_unseen_combos,CVCL_0293,Betamethasone dipropionate,65,1.0,0.6,0.4,0.0,0.639807787867778,0.8749702847086213,1.4265268663429167,69,Glucocorticoid receptor agonist,Voriconazole
tier3_unseen_combos,CVCL_0293,Bisoprolol (hemifumarate),65,1.0,0.0,0.2,0.0,0.7210012051634425,1.0149144382783641,1.4789178084173453,74,Adrenoceptor agonist,Betamethasone dipropionate
tier3_unseen_combos,CVCL_0293,Perindopril (erbumine),85,1.0,0.4,1.0,0.0,0.8910535210486096,1.081285010091314,1.4460795909170134,71,unclear,Sinomenine
tier3_unseen_combos,CVCL_0293,Voriconazole,71,0.8,0.4,0.6,0.0,0.7648167617580794,1.0120059901782141,1.380894199266737,64,unclear,Perindopril (erbumine)
tier3_unseen_combos,CVCL_0293,PH-797804,68,1.0,0.8,0.0,0.0,0.8780062419590308,1.1876653758028641,1.5417592976766643,93,Other MAPK inhibitor,Sinomenine
tier4_dose_interpolation,CVCL_0480,Adenine,20,0.07692307692307693,0.3076923076923077,1.0,0.0,0.600605243659606,0.8459698423206028,1.9568094292135454,75,unclear,Procainamide (hydrochloride)
tier4_dose_interpolation,CVCL_0480,Gallic acid,30,1.0,1.0,0.46153846153846156,1.0,0.6201880372647143,0.9089768650420994,1.7499798890397031,92,Cyclooxygenase inhibitor,Procainamide (hydrochloride)
tier4_dose_interpolation,CVCL_0480,Amsacrine,20,0.8461538461538461,0.07692307692307693,0.8461538461538461,0.0,0.7577005073772193,1.0081994691535279,2.427923957654558,89,DNA synthesis/repair inhibitor,Procainamide (hydrochloride)
tier4_dose_interpolation,CVCL_0480,8-Hydroxyquinoline,20,0.8461538461538461,0.3076923076923077,0.7692307692307693,0.15384615384615385,0.5582437409352428,0.7939659502230749,1.7465150468302386,72,unclear,Procainamide (hydrochloride)
tier4_dose_interpolation,CVCL_0480,Sodium Salicylate,21,0.23076923076923078,0.0,0.38461538461538464,0.15384615384615385,0.5617601678193678,0.8726559742104897,1.8922066449832649,119,Cyclooxygenase inhibitor,Norepinephrine (hydrochloride)
tier4_dose_interpolation,CVCL_0480,Diammonium Glycyrrhizinate,23,0.9230769230769231,0.6923076923076923,0.23076923076923078,0.46153846153846156,0.7193259864011392,0.9295708886504213,2.123925474341084,167,unclear,Procainamide (hydrochloride)
tier4_dose_interpolation,CVCL_0480,S-Adenosyl-L-methionine (disulfate tosylate),23,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.0,0.6444774012617778,0.9154346568422436,1.7971794683809,91,unclear,Procainamide (hydrochloride)
tier4_dose_interpolation,CVCL_0480,Pentamidine (isethionate),28,0.8461538461538461,0.8461538461538461,0.5384615384615384,0.8461538461538461,0.6789687845961526,0.922850481769661,1.8525943828382354,121,unclear,Norepinephrine (hydrochloride)
tier4_dose_interpolation,CVCL_0480,Adenosine,25,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.6710375160071834,0.8564701717269592,1.857840125738654,118,unclear,Procainamide (hydrochloride)
