cell_line,plate,drug,moa,n_cells,effect,perm_p,significant,n_deg,snr,ceiling_nir,identifiable,isolation,redundant,nn_drug
CVCL_0152,plate4,Fluvoxamine (maleate),unclear,33,,,False,,,0.6666666666666666,False,0.931534153739036,True,Quinestrol
CVCL_0152,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,51,,,False,,,1.0,True,1.0436572174489562,False,Quinestrol
CVCL_0152,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,38,,,False,,,0.8888888888888888,True,0.9399963122491161,True,Quinestrol
CVCL_0152,plate4,Elagolix sodium,unclear,31,,,False,,,0.1111111111111111,False,0.8579059080705244,True,Tolcapone
CVCL_0152,plate4,Resveratrol,unclear,31,,,False,,,0.16666666666666666,False,0.8887020986748229,True,Ritonavir
CVCL_0152,plate4,Tofacitinib (citrate),JAK/STAT inhibitor,37,,,False,,,0.6111111111111112,False,0.9041592626448837,True,Tolcapone
CVCL_0152,plate4,Thymol,unclear,36,,,False,,,0.5,False,0.9206904866584779,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_0152,plate4,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,31,,,False,,,0.3333333333333333,False,0.9326102319639524,True,Quinestrol
CVCL_0152,plate4,Lenalidomide (hemihydrate),unclear,30,,,False,,,0.05555555555555555,False,0.922440985465416,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_0152,plate4,Azithromycin (hydrate),unclear,39,,,False,,,0.7222222222222222,False,0.9485003184867233,True,Quinestrol
CVCL_0152,plate4,Ritonavir,unclear,45,,,False,,,0.6666666666666666,False,0.9542159991425502,True,Quinestrol
CVCL_0152,plate4,Adenosine,unclear,42,,,False,,,0.5,False,0.928378976234426,True,Quinestrol
CVCL_C466,plate4,Quinestrol,unclear,52,,,False,,,1.0,True,1.101722845962639,False,Aliskiren
CVCL_C466,plate4,Tolcapone,unclear,43,,,False,,,0.6666666666666666,False,0.9912805046361893,True,Aliskiren
CVCL_C466,plate4,Terfenadine,unclear,33,,,False,,,0.0,False,0.9668114762351592,True,Quinestrol
CVCL_C466,plate4,Aliskiren,unclear,47,,,False,,,1.0,True,1.0953337095044708,False,Quinestrol
CVCL_0397,plate4,Quinestrol,unclear,46,,,False,,,1.0,True,1.0986578313955628,False,Rapamycin
CVCL_0397,plate4,Terfenadine,unclear,32,,,False,,,0.25,False,0.9138361689322284,True,Quinestrol
CVCL_0397,plate4,Aliskiren,unclear,30,,,False,,,0.75,False,0.9654471491019303,True,Quinestrol
CVCL_0397,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,36,,,False,,,0.75,False,1.034228192662895,False,Quinestrol
CVCL_0397,plate4,Rapamycin,MTOR inhibitor,32,,,False,,,0.0,False,0.8927685796758555,True,Quinestrol
CVCL_0131,plate4,Quinestrol,unclear,53,,,False,,,1.0,True,0.9650246617022797,True,Aliskiren
CVCL_0131,plate4,Trimetrexate,DNA synthesis/repair inhibitor,33,,,False,,,0.3333333333333333,False,0.8984676953080956,True,Terfenadine
