tier,cell_line,plate,drug,n_total,n_selection,n_strength_used,e_distance,perm_p,significant,distinctiveness
tier1_seen_conditions,CVCL_0480,plate4,Ritonavir,28,28,12,0.14593179523140165,0.07462686567164178,False,0.7468354430379747
tier1_seen_conditions,CVCL_0480,plate4,Pentamidine (isethionate),27,27,12,-0.06596365804397664,0.7810945273631841,False,0.8987341772151899
tier1_seen_conditions,CVCL_0480,plate4,Adenosine,28,28,12,-0.08901570778101231,0.8706467661691543,False,0.6835443037974683
tier1_seen_conditions,CVCL_0480,plate4,Sulfisoxazole,25,25,12,-0.10525194712104913,0.8805970149253731,False,0.7974683544303798
tier1_seen_conditions,CVCL_0480,plate4,Norepinephrine (hydrochloride),27,27,12,-0.023306652132967898,0.572139303482587,False,0.4050632911392405
tier1_seen_conditions,CVCL_0480,plate4,Ciclopirox,29,29,12,-0.03111158172578321,0.6169154228855721,False,0.8734177215189873
tier1_seen_conditions,CVCL_0480,plate4,Demeclocycline,25,25,12,-0.001523804777219695,0.5472636815920398,False,0.810126582278481
tier1_seen_conditions,CVCL_0480,plate4,Mitoxantrone (dihydrochloride),26,26,12,0.3249857571587036,0.009950248756218905,True,0.6835443037974683
tier1_seen_conditions,CVCL_0480,plate4,Larotrectinib,25,25,12,0.2231021045627859,0.03482587064676617,True,0.12658227848101267
tier1_seen_conditions,CVCL_0480,plate4,Busulfan,29,29,12,0.12098335909903568,0.10945273631840796,False,0.9367088607594937
tier1_seen_conditions,CVCL_0480,plate4,Cepharanthine,26,26,12,-0.14116351741197875,0.9402985074626866,False,0.620253164556962
tier1_seen_conditions,CVCL_0480,plate4,Radotinib,28,28,12,-0.13617803759282054,0.945273631840796,False,0.6835443037974683
tier1_seen_conditions,CVCL_0480,plate4,Docetaxel,27,27,12,0.02853893177606892,0.36318407960199006,False,0.9367088607594937
tier1_seen_conditions,CVCL_0480,plate4,Triclosan,28,28,12,0.23600048017083353,0.04975124378109453,True,0.3924050632911392
tier1_seen_conditions,CVCL_0480,plate4,Tucidinostat,27,27,12,-0.01089521718122377,0.5373134328358209,False,0.5443037974683544
tier1_seen_conditions,CVCL_0480,plate4,Bergenin,24,24,12,-0.0036143610959928907,0.5024875621890548,False,0.4430379746835443
tier1_seen_conditions,CVCL_0480,plate4,Allantoin,28,28,12,-0.017547449815765503,0.5024875621890548,False,1.0
tier1_seen_conditions,CVCL_0480,plate4,Bimatoprost,28,28,12,0.0765890281684829,0.1791044776119403,False,1.0
tier1_seen_conditions,CVCL_0480,plate4,Olanzapine,27,27,12,0.1125719949541093,0.09950248756218906,False,0.7974683544303798
tier1_seen_conditions,CVCL_0480,plate4,Rimonabant,25,25,12,0.11885829996935549,0.07960199004975124,False,0.7088607594936709
tier1_seen_conditions,CVCL_0480,plate4,Pentagastrin,28,28,12,0.13097688028373788,0.14925373134328357,False,0.9746835443037974
tier1_seen_conditions,CVCL_0480,plate4,Lumateperone (tosylate),28,28,12,-0.1398098722094545,0.9601990049751243,False,0.8607594936708861
tier1_seen_conditions,CVCL_0480,plate4,Relugolix,21,21,12,0.0888795440106307,0.15920398009950248,False,0.13924050632911392
tier1_seen_conditions,CVCL_0480,plate4,Hexylresorcinol,27,27,12,0.08243905700379095,0.19402985074626866,False,0.6455696202531646
tier1_seen_conditions,CVCL_0480,plate4,Riluzole hydrochloride,23,23,12,0.0787979647499597,0.20398009950248755,False,0.35443037974683544
tier1_seen_conditions,CVCL_0480,plate4,Isocorydine,27,27,12,0.2021365183909296,0.07462686567164178,False,0.6708860759493671
tier1_seen_conditions,CVCL_0480,plate4,Raltitrexed,28,28,12,0.03627767983886443,0.34328358208955223,False,0.6329113924050633
tier1_seen_conditions,CVCL_0480,plate4,Furosemide,27,27,12,0.12715824621480998,0.14925373134328357,False,1.0
tier1_seen_conditions,CVCL_0480,plate4,Sodium Salicylate,29,29,12,0.026925227719777567,0.39800995024875624,False,0.5443037974683544
tier1_seen_conditions,CVCL_0480,plate4,Gallic acid (hydrate),23,23,12,-0.0033809940610272093,0.4925373134328358,False,0.1518987341772152
tier1_seen_conditions,CVCL_0480,plate4,Pyridoxine,29,29,12,-0.0009710705530938668,0.4427860696517413,False,0.8354430379746836
tier1_seen_conditions,CVCL_0480,plate4,Acetohexamide,27,27,12,-0.015212607548612311,0.5174129353233831,False,0.379746835443038
tier1_seen_conditions,CVCL_0480,plate4,Megestrol,27,27,12,-0.05607337350357611,0.7014925373134329,False,0.7721518987341772
tier1_seen_conditions,CVCL_0480,plate4,Diammonium Glycyrrhizinate,28,28,12,0.05976920712565992,0.23383084577114427,False,0.7088607594936709
